brand,detailurl,factory,imgname,modelname,price,CA,asthma,atopy,allergy,CADR,anion,compound,filter,varietyfilter,HEPA,PM,peoung,size
리파,http://www.enuri.com/detail.jsp?modelno=27867594&cate=240616,리파,http://photo3.enuri.com/data/images/service/big/27867000/27867594.jpg,에어 LA503,1443360,,,,,CADR,,,필터식,"프리필터 ,카본필터,탄소필터,    HEPA필터",TRUE,,22.9,30 x 80cm
이지케어,http://www.enuri.com/detail.jsp?modelno=22293572&cate=240616,이지케어,http://image.enuri.gscdn.com/webimage_300/3017500000/3017570000/3017571424.jpg,TA-1U,42860,,,,,,음이온식,,,,FALSE,,3,6.5 x 6.5 x 15cm
,http://www.enuri.com/detail.jsp?modelno=21626371&cate=240616,,http://photo3.enuri.com/data/images/service/img_300/21626000/21626371.jpg,워니 포 베이비(EAP-Q004A),69000,,,,,,,,필터식,,FALSE,,,18.1 x 6.4cm
가온A&amp;C,http://www.enuri.com/detail.jsp?modelno=18528382&cate=240616,가온A&amp;C,http://image.enuri.gscdn.com/webimage_300/2869600000/2869640000/2869643954.jpg,ANC-1703,34300,,,,,,,,필터식,"카본필터,    HEPA필터",TRUE,,,7 x 12.5cm
퓨리케어,http://www.enuri.com/detail.jsp?modelno=15691349&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/15691000/15691349.jpg,AS161DAW(사업자전용),597000,CA인증,천식협회인증,,알레르기협회인증,,,복합식,,"프리필터 ,토탈알러지집진필터,토탈유해가스필터",FALSE,,15.5,36 x 52 x 36cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=23942926&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/15220000/15220577.jpg,AC-12ZHCL10FW,23900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,    HEPA필터",TRUE,,11.6,47 x 61 x 25cm
보네코,http://www.enuri.com/detail.jsp?modelno=15059620&cate=240616,보네코,http://photo3.enuri.com/data/images/service/img_300/15059000/15059620.jpg,P400,451540,,,,,CADR,,,필터식,"항알레르겐필터,활성탄필터,    HEPA필터",TRUE,,6.9,42 x 56.2 x 22.4cm
퓨리케어,http://www.enuri.com/detail.jsp?modelno=13493243&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/13493000/13493243.jpg,AS120VAS(사업자전용),287740,CA인증,,,,,,복합식,,"프리필터 ,    스모그탈취필터 ,초미세먼지필터",FALSE,,10.9,47 x 45 x 23cm
위닉스,http://www.enuri.com/detail.jsp?modelno=12860270&cate=240616,위닉스,http://photo3.enuri.com/data/images/service/img_300/12860000/12860270.jpg,AEB-SC430NBKD0,218270,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,    탈취필터 ,    HEPA필터",TRUE,,13,41.4 x 55 x 26.5cm
카도,http://www.enuri.com/detail.jsp?modelno=12280097&cate=240616,카도,http://photo3.enuri.com/data/images/service/img_300/12280000/12280097.jpg,AP-C300E,665000,,,,,,,,필터식,"프리필터 ,    HEPA필터",TRUE,,13.6,35 x 58 x 23cm
에어비타,http://www.enuri.com/detail.jsp?modelno=11802635&cate=240616,에어비타,http://photo3.enuri.com/data/images/service/img_300/11802000/11802635.jpg,AeBall,100000,,,,,,음이온식,,,,FALSE,,,     
신일산업,http://www.enuri.com/detail.jsp?modelno=11601807&cate=240616,신일산업,http://photo3.enuri.com/data/images/service/img_300/11601000/11601807.jpg,SAR-6000BS,177390,CA인증,,,,,,,필터식,"프리필터 ,    탈취필터 ,    HEPA필터",TRUE,,8.4,36.5 x 56.5 x 24cm
에어텍,http://www.enuri.com/detail.jsp?modelno=2520934&cate=240616,에어텍,http://photo3.enuri.com/data/images/service/img_300/2520000/2520934.jpg,VAV 아바네로2,275210,,,,,,,,필터식,나노필름필터,FALSE,,22.6,     
리파,http://www.enuri.com/detail.jsp?modelno=27867600&cate=240616,리파,http://photo3.enuri.com/data/images/service/big/27867000/27867600.jpg,에어 LA333,926500,,,,,CADR,,,필터식,"프리필터 ,카본필터,탄소필터,    HEPA필터",TRUE,,19.9,25 x 50.5cm
벨류텍,http://www.enuri.com/detail.jsp?modelno=27827425&cate=240616,벨류텍,http://image.enuri.gscdn.com/webimage_300/2874400000/2874480000/2874487082.jpg,VMP-002,19900,,,,,,음이온식,,,,FALSE,,,16.9 x 4.5 x 8.6cm
,http://www.enuri.com/detail.jsp?modelno=26141425&cate=240616,,http://photo3.enuri.com/data/images/service/big/26141000/26141425.jpg,에어토리 공기청정기,84000,,,,,,,,필터식,"프리필터 ,활성탄필터,    HEPA필터",TRUE,,,     
보네코,http://www.enuri.com/detail.jsp?modelno=26045566&cate=240616,보네코,http://photo3.enuri.com/data/images/service/big/26045000/26045566.jpg,P700,1491763,,,,,CADR,,,필터식,"프리필터 ,활성탄필터,    HEPA필터",TRUE,,60.5,39 x 76.9 x 36cm
SK매직,http://www.enuri.com/detail.jsp?modelno=25483189&cate=240616,SK매직,http://photo3.enuri.com/data/images/service/big/25483000/25483189.jpg,ACL-120UA,756700,,,,,,,,필터식,"프리필터 ,더스트필터,    탈취필터 ,U필터",FALSE,,11.7,37 x 75.5 x 37cm
빈트,http://www.enuri.com/detail.jsp?modelno=24001728&cate=240616,빈트,http://image.enuri.gscdn.com/webimage_300/3178800000/3178850000/3178854980.jpg,CA-3000WG,151590,,,,,CADR,,,필터식,"프리필터 ,활성탄필터,    HEPA필터",TRUE,,4.8,26.2 x 35.4 x 26.2cm
블루에어,http://www.enuri.com/detail.jsp?modelno=11772269&cate=240616,블루에어,http://photo3.enuri.com/data/images/service/img_300/11772000/11772269.jpg,270E,948060,,,,,CADR,,,필터식,HEPA사일런트필터,TRUE,,6.6,43.2 x 53.3 x 24.1cm
CARL,http://www.enuri.com/detail.jsp?modelno=9668340&cate=240616,CARL,http://photo3.enuri.com/data/images/service/img_300/9668000/9668340.jpg,MAP-5000N,464790,,,,,,,,필터식,"프리필터 ,    광촉매필터",FALSE,,24.9,30.1 x 70.7 x 28.4cm
대유위니아,http://www.enuri.com/detail.jsp?modelno=27722191&cate=240616,대유위니아,http://photo3.enuri.com/data/images/service/big/27722000/27722191.jpg,BPB16RAW,298000,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,극초미세집진필터,    탈취카본필터",FALSE,PM1.0,16,38.6 x 64 x 26.5cm
